timestamp,equipment,alarm_type,severity
2026-07-20 22:43:06,Tank-02,Level Low-Low,critical
2026-07-20 22:57:54,Pump-02,Motor Overheat,critical
2026-07-20 23:09:36,Sensor-01,Out of Range,critical
2026-07-20 23:14:58,Valve-01,Position Error,warning
2026-07-20 23:21:46,Valve-01,Failed to Open,critical
2026-07-20 23:29:01,Pump-01,Motor Overheat,critical
2026-07-20 23:36:41,Tank-02,Level Low,warning
2026-07-20 23:48:32,Valve-02,Failed to Close,critical
2026-07-21 00:02:27,Valve-01,Position Error,warning
2026-07-21 00:04:22,Valve-02,Failed to Close,critical
2026-07-21 00:18:27,Valve-02,Position Error,warning
2026-07-21 00:26:53,Pump-02,Pump Trip,critical
2026-07-21 00:37:57,Valve-02,Failed to Close,critical
2026-07-21 00:46:43,Sensor-01,Signal Unstable,warning
2026-07-21 00:59:51,Pump-02,Pump Trip,critical
2026-07-21 01:13:54,PLC-01,Communication Timeout,critical
2026-07-21 01:28:42,Pump-02,Flow Low,warning
2026-07-21 01:40:25,Tank-02,Level Low,warning
2026-07-21 01:53:01,Sensor-01,Calibration Required,info
2026-07-21 01:56:03,PLC-01,CPU Load High,warning
2026-07-21 02:00:36,Tank-01,Level High-High,critical
2026-07-21 02:05:00,Tank-01,Level Low,warning
2026-07-21 02:09:20,Tank-01,Level Low,warning
2026-07-21 02:18:53,Pump-02,Flow Low,warning
2026-07-21 02:31:03,Valve-01,Failed to Open,critical
2026-07-21 02:38:27,Sensor-01,Out of Range,critical
2026-07-21 02:45:52,Pump-01,Pressure Low,warning
2026-07-21 02:52:50,Pump-01,Pump Trip,critical
2026-07-21 02:59:10,Tank-01,Level Low,warning
2026-07-21 03:13:45,Sensor-01,Calibration Required,info
2026-07-21 03:23:24,Valve-02,Connection Lost,critical
2026-07-21 03:31:10,PLC-01,Communication Timeout,critical
2026-07-21 03:42:54,Sensor-01,Signal Unstable,warning
2026-07-21 03:45:24,Pump-01,Pump Trip,critical
2026-07-21 03:57:02,Pump-01,Pressure High,warning
2026-07-21 03:59:40,PLC-01,Backup Battery Low,warning
2026-07-21 04:05:35,Valve-02,Connection Lost,critical
2026-07-21 04:18:54,Sensor-01,Out of Range,critical
2026-07-21 04:33:25,Sensor-01,Out of Range,critical
2026-07-21 04:41:46,Pump-01,Pressure High,warning
2026-07-21 04:48:04,Valve-02,Position Error,warning
2026-07-21 05:01:16,Pump-01,Pressure High,warning
2026-07-21 05:12:12,Valve-01,Position Error,warning
2026-07-21 05:22:09,Valve-02,Connection Lost,critical
2026-07-21 05:35:34,Tank-02,Level High,warning
2026-07-21 05:48:39,Pump-02,Flow Low,warning
2026-07-21 05:50:49,Pump-01,Motor Overheat,critical
2026-07-21 05:57:33,Sensor-01,Signal Unstable,warning
2026-07-21 05:59:37,Tank-01,Level High-High,critical
2026-07-21 06:02:00,Pump-01,Motor Overheat,critical
2026-07-21 06:13:37,Tank-02,Level High,warning
2026-07-21 06:19:46,Pump-01,Pump Trip,critical
2026-07-21 06:21:54,Sensor-01,Out of Range,critical
2026-07-21 06:36:22,PLC-01,CPU Load High,warning
2026-07-21 06:49:13,Tank-01,Level High-High,critical
2026-07-21 06:58:44,PLC-01,CPU Load High,warning
2026-07-21 07:11:32,Tank-01,Level Low,warning
2026-07-21 07:26:02,Pump-02,Motor Overheat,critical
2026-07-21 07:30:31,PLC-01,Backup Battery Low,warning
2026-07-21 07:37:19,Tank-02,Level High,warning
2026-07-21 07:43:11,Valve-01,Connection Lost,critical
2026-07-21 07:57:07,Tank-01,Level Low,warning
2026-07-21 08:07:37,Tank-01,Level High,warning
2026-07-21 08:09:24,Valve-02,Failed to Close,critical
2026-07-21 08:19:12,Valve-02,Failed to Close,critical
2026-07-21 08:31:40,PLC-01,CPU Load High,warning
2026-07-21 08:33:35,Tank-01,Level High,warning
2026-07-21 08:38:04,Tank-01,Level High-High,critical
2026-07-21 08:46:28,Tank-02,Level Low,warning
2026-07-21 08:56:11,Tank-02,Level Low,warning
2026-07-21 09:01:08,Tank-01,Level Low,warning
2026-07-21 09:13:46,Valve-02,Position Error,warning
2026-07-21 09:17:22,Valve-02,Failed to Close,critical
2026-07-21 09:30:03,Tank-01,Level High,warning
2026-07-21 09:35:26,Valve-02,Position Error,warning
2026-07-21 09:47:51,Valve-01,Position Error,warning
2026-07-21 09:57:37,Tank-01,Level High-High,critical
2026-07-21 10:08:50,PLC-01,Communication Timeout,critical
2026-07-21 10:18:57,Tank-01,Level Low,warning
2026-07-21 10:25:05,Valve-01,Position Error,warning
2026-07-21 10:33:34,Pump-02,Pressure High,warning
2026-07-21 10:35:09,Pump-01,Pressure Low,warning
2026-07-21 10:36:56,Valve-02,Position Error,warning
2026-07-21 10:44:22,Valve-02,Failed to Close,critical
2026-07-21 10:52:15,Tank-01,Level High-High,critical
2026-07-21 10:57:47,Pump-01,Pressure High,warning
2026-07-21 11:01:39,Valve-02,Connection Lost,critical
2026-07-21 11:04:39,Valve-02,Position Error,warning
2026-07-21 11:07:39,Pump-01,Pump Trip,critical
2026-07-21 11:18:07,PLC-01,Backup Battery Low,warning
2026-07-21 11:30:30,Tank-01,Level High-High,critical
2026-07-21 11:32:02,Valve-02,Connection Lost,critical
2026-07-21 11:43:02,Valve-02,Position Error,warning
2026-07-21 11:54:25,Valve-01,Connection Lost,critical
2026-07-21 11:55:58,Pump-01,Pressure Low,warning
2026-07-21 12:06:27,Tank-01,Level Low,warning
2026-07-21 12:18:43,Sensor-01,Out of Range,critical
2026-07-21 12:27:28,PLC-01,Communication Timeout,critical
2026-07-21 12:35:10,Tank-02,Level Low-Low,critical
2026-07-21 12:37:03,Valve-02,Failed to Close,critical
2026-07-21 12:47:12,Pump-01,Motor Overheat,critical
2026-07-21 13:00:33,Valve-01,Connection Lost,critical
2026-07-21 13:08:25,Tank-01,Level High,warning
2026-07-21 13:16:11,PLC-01,Communication Timeout,critical
2026-07-21 13:23:29,Tank-02,Level Low,warning
2026-07-21 13:38:27,Valve-01,Connection Lost,critical
2026-07-21 13:47:14,Tank-01,Level High-High,critical
2026-07-21 14:01:27,Pump-01,Pressure Low,warning
2026-07-21 14:07:18,Pump-02,Pump Trip,critical
2026-07-21 14:21:42,Pump-01,Pump Trip,critical
2026-07-21 14:25:14,Tank-02,Level Low-Low,critical
2026-07-21 14:36:14,PLC-01,Communication Timeout,critical
2026-07-21 14:45:56,Valve-01,Connection Lost,critical
2026-07-21 14:58:11,PLC-01,CPU Load High,warning
2026-07-21 15:10:37,Valve-01,Connection Lost,critical
2026-07-21 15:20:22,Sensor-01,Signal Unstable,warning
2026-07-21 15:35:03,Pump-02,Pump Trip,critical
2026-07-21 15:46:26,Valve-01,Connection Lost,critical
2026-07-21 15:51:44,Tank-01,Level Low,warning
2026-07-21 16:00:07,Valve-02,Connection Lost,critical
2026-07-21 16:06:59,Valve-02,Failed to Close,critical
2026-07-21 16:09:38,Pump-02,Motor Overheat,critical
2026-07-21 16:24:32,Sensor-01,Out of Range,critical
2026-07-21 16:33:31,Tank-01,Level High,warning
2026-07-21 16:38:56,PLC-01,Communication Timeout,critical
2026-07-21 16:47:31,Tank-02,Level Low,warning
2026-07-21 16:57:07,Sensor-01,Out of Range,critical
2026-07-21 17:00:40,Valve-02,Failed to Close,critical
2026-07-21 17:15:36,Sensor-01,Signal Unstable,warning
2026-07-21 17:24:00,Sensor-01,Out of Range,critical
2026-07-21 17:37:51,Valve-01,Connection Lost,critical
2026-07-21 17:40:20,Tank-02,Level High,warning
2026-07-21 17:48:10,Pump-02,Pressure High,warning
2026-07-21 17:55:29,Valve-01,Position Error,warning
2026-07-21 18:00:20,Tank-02,Level Low-Low,critical
2026-07-21 18:11:45,Pump-02,Motor Overheat,critical
2026-07-21 18:26:44,Sensor-01,Out of Range,critical
2026-07-21 18:40:01,PLC-01,CPU Load High,warning
2026-07-21 18:44:21,Tank-01,Level High,warning
2026-07-21 18:52:05,Pump-02,Pressure High,warning
2026-07-21 19:04:15,Tank-01,Level High,warning
2026-07-21 19:09:35,Tank-02,Level Low,warning
2026-07-21 19:14:05,Sensor-01,Calibration Required,info
2026-07-21 19:17:29,Valve-01,Position Error,warning
2026-07-21 19:28:23,Valve-02,Connection Lost,critical
2026-07-21 19:31:09,Valve-02,Connection Lost,critical
2026-07-21 19:39:19,Tank-01,Level Low,warning
2026-07-21 19:44:33,Valve-01,Position Error,warning
2026-07-21 19:50:46,Tank-01,Level High-High,critical
2026-07-21 20:02:52,Tank-01,Level Low,warning
2026-07-21 20:06:35,Sensor-01,Signal Unstable,warning
2026-07-21 20:16:40,Tank-02,Level Low-Low,critical
2026-07-21 20:28:56,Tank-01,Level High,warning
2026-07-21 20:40:30,Sensor-01,Signal Unstable,warning
2026-07-21 20:51:10,PLC-01,CPU Load High,warning
2026-07-21 20:55:25,Tank-02,Level High,warning
2026-07-21 21:06:20,Tank-01,Level High-High,critical
2026-07-21 21:19:45,Valve-01,Position Error,warning
2026-07-21 21:25:21,PLC-01,Communication Timeout,critical
2026-07-21 21:38:10,Valve-01,Position Error,warning
2026-07-21 21:44:04,Sensor-01,Signal Unstable,warning
2026-07-21 21:57:49,Tank-02,Level Low-Low,critical
2026-07-21 22:02:48,Valve-01,Connection Lost,critical
2026-07-21 22:11:21,Tank-01,Level High-High,critical
2026-07-21 22:25:24,Pump-02,Pump Trip,critical
2026-07-21 22:28:08,Valve-02,Failed to Close,critical
2026-07-21 22:35:14,Tank-02,Level High,warning
2026-07-21 22:35:48,Tank-01,Level Low,warning
2026-07-21 22:47:36,Tank-01,Level High-High,critical
2026-07-21 22:58:49,Tank-02,Level High,warning
2026-07-21 23:07:11,Pump-01,Motor Overheat,critical
2026-07-21 23:11:17,Pump-02,Pump Trip,critical
2026-07-21 23:16:46,Sensor-01,Signal Unstable,warning
2026-07-21 23:22:17,PLC-01,CPU Load High,warning
2026-07-21 23:29:14,PLC-01,CPU Load High,warning
2026-07-21 23:42:14,Sensor-01,Calibration Required,info
2026-07-21 23:45:12,Sensor-01,Signal Unstable,warning
2026-07-21 23:56:02,Sensor-01,Signal Unstable,warning
2026-07-22 00:00:04,PLC-01,CPU Load High,warning
2026-07-22 00:14:59,Tank-02,Level High,warning
2026-07-22 00:21:35,Tank-02,Level High,warning
2026-07-22 00:25:09,Pump-02,Pressure High,warning
2026-07-22 00:36:26,Pump-01,Pressure High,warning
2026-07-22 00:40:55,Valve-01,Failed to Open,critical
2026-07-22 00:55:24,Valve-02,Failed to Close,critical
2026-07-22 00:59:42,Tank-02,Level High,warning
2026-07-22 01:10:12,Pump-01,Motor Overheat,critical
2026-07-22 01:13:00,Valve-01,Failed to Open,critical
2026-07-22 01:16:18,Pump-02,Flow Low,warning
2026-07-22 01:30:06,Valve-02,Failed to Close,critical
2026-07-22 01:33:24,Tank-01,Level Low,warning
2026-07-22 01:42:42,Pump-02,Pressure High,warning
2026-07-22 01:56:18,Tank-02,Level Low-Low,critical
2026-07-22 02:04:20,Valve-02,Position Error,warning
2026-07-22 02:12:29,Pump-01,Pressure High,warning
2026-07-22 02:27:16,Sensor-01,Out of Range,critical
